Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
900.00000	2.0000000	3.7021034	0.27011671	3850.8962	4391.1296	8.3924911	1.9559062	2.4278015	817.98046	1.4930398	4.4282396e-05	0.12127458	vapor
1000.0000	2.0000000	3.4080919	0.29341932	4050.2039	4637.0425	8.5936173	2.0206450	2.4901543	849.87121	1.1661291	4.7943082e-05	0.13553157	vapor
1100.0000	2.0000000	3.1578425	0.31667191	4255.7353	4889.0791	8.7841617	2.0822782	2.5500870	880.43001	0.92023805	undefined	undefined	vapor
1200.0000	2.0000000	2.9421436	0.33988823	4467.1738	5146.9503	8.9654104	2.1401854	2.6067444	909.85530	0.73098254	undefined	undefined	vapor
1300.0000	2.0000000	2.7542326	0.36307754	4684.1494	5410.3045	9.1383546	2.1940890	2.6597059	938.29655	0.58242292	undefined	undefined	vapor
1400.0000	2.0000000	2.5890218	0.38624626	4906.2711	5678.7636	9.3037853	2.2439464	2.7088379	965.86889	0.46380268	undefined	undefined	vapor
1500.0000	2.0000000	2.4426051	0.40939897	5133.1481	5951.9460	9.4623537	2.2898682	2.7541913	992.66295	0.36766559	undefined	undefined	vapor
200.00000	2.5000000	865.37757	0.0011555650	849.76402	852.65293	2.3290312	3.3173224	4.4903354	1335.5095	-0.090326248	0.00013482499	0.66080172	liquid
300.00000	2.5000000	10.107458	0.098936840	2762.2378	3009.5799	6.6458962	1.7451420	2.4248239	565.27616	12.302537	2.0037560e-05	0.048084077	vapor
400.00000	2.5000000	8.3250614	0.12011923	2939.7847	3240.0828	7.0169743	1.6813788	2.2398337	621.48185	7.4365083	2.4410856e-05	0.057356326	vapor
500.00000	2.5000000	7.1432560	0.13999218	3112.7690	3462.7494	7.3253987	1.7095372	2.2260494	668.46317	4.9527507	2.8618310e-05	0.068550006	vapor
600.00000	2.5000000	6.2769098	0.15931406	3288.5070	3686.7921	7.5978701	1.7626796	2.2593061	710.28864	3.4977904	3.2703342e-05	0.080907816	vapor
700.00000	2.5000000	5.6069969	0.17834859	3469.3339	3915.2054	7.8454900	1.8252662	2.3108756	748.58986	2.5678740	3.6677259e-05	0.094029986	vapor
800.00000	2.5000000	5.0706192	0.19721457	3656.1825	4149.2189	8.0743436	1.8912559	2.3701495	784.26983	1.9375547	4.0543763e-05	0.10767940	vapor
900.00000	2.5000000	4.6301926	0.21597374	3849.3823	4389.3166	8.2882159	1.9574146	2.4319328	817.90775	1.4914824	4.4305248e-05	0.12170147	vapor
1000.0000	2.5000000	4.2614611	0.23466130	4048.9371	4635.5904	8.4896378	2.0217807	2.4933029	849.90144	1.1649954	4.7964405e-05	0.13599186	vapor
1100.0000	2.5000000	3.9479074	0.25329875	4254.6589	4887.9057	8.6803933	2.0831630	2.5525527	880.53437	0.91939325	undefined	undefined	vapor
1200.0000	2.5000000	3.6778240	0.27189990	4466.2478	5145.9976	8.8617974	2.1408942	2.6087180	910.01390	0.73034023	undefined	undefined	vapor
1300.0000	2.5000000	3.4426486	0.29047403	4683.3450	5409.5300	9.0348587	2.1946703	2.6613144	938.49530	0.58192608	undefined	undefined	vapor
1400.0000	2.5000000	3.2359575	0.30902755	4905.5666	5678.1355	9.2003797	2.2444325	2.7101688	966.09754	0.46341259	undefined	undefined	vapor
1500.0000	2.5000000	3.0528287	0.32756506	5132.5271	5951.4398	9.3590189	2.2902814	2.7553066	992.91391	0.36735527	undefined	undefined	vapor
200.00000	3.0000000	865.75641	0.0011550593	849.39101	852.85619	2.3282400	3.3170006	4.4874520	1337.3299	-0.090799821	0.00013495204	0.66121713	liquid
300.00000	3.0000000	12.318480	0.081178848	2750.7979	2994.3344	6.5411993	1.7985548	2.5414424	560.47377	12.263974	1.9984897e-05	0.049176747	vapor
400.00000	3.0000000	10.062474	0.099379137	2933.5489	3231.6863	6.9234487	1.6989344	2.2801484	619.15032	7.4252525	2.4406493e-05	0.057963190	vapor
500.00000	3.0000000	8.6062197	0.11619504	3108.6308	3457.2159	7.2358698	1.7179207	2.2463844	667.15208	4.9453467	2.8632903e-05	0.068980408	vapor
600.00000	3.0000000	7.5502500	0.13244595	3285.4951	3682.8330	7.5102661	1.7674813	2.2714755	709.52443	3.4928934	3.2725355e-05	0.081282810	vapor
700.00000	3.0000000	6.7382836	0.14840574	3467.0179	3912.2351	7.7589623	1.8283227	2.3188966	748.15673	2.5646056	3.6701578e-05	0.094403753	vapor
800.00000	3.0000000	6.0902920	0.16419574	3654.3341	4146.9213	7.9884759	1.8933460	2.3757830	784.05176	1.9353120	4.0568024e-05	0.10807633	vapor
900.00000	3.0000000	5.5593098	0.17987844	3847.8671	4387.5025	8.2027798	1.9589226	2.4360750	817.83601	1.4898958	4.4328365e-05	0.12213027	vapor
1000.0000	3.0000000	5.1153682	0.19548935	4047.6698	4634.1378	8.4044980	2.0229157	2.4964567	849.93255	1.1638413	4.7985918e-05	0.13645362	vapor
1100.0000	3.0000000	4.7382125	0.21105005	4253.5822	4886.7323	8.5954649	2.0840469	2.5550208	880.63948	0.91853337	undefined	undefined	vapor
