Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
193.89552	1.3660500	871.68813	0.0011471993	823.27411	824.84124	2.2726465	3.3407028	4.4655099	1351.1018	-0.097565794	0.00013904053	0.66383152	0.039063727	6.9373905	0.14414642	2591.1581	2788.0694	6.4761513	2.0228816	2.8991319	503.25018	25.944342	1.5458054e-05	0.037272637
195.12945	1.4027000	870.28248	0.0011490522	828.75909	830.37086	2.2843804	3.3360484	4.4714445	1347.3102	-0.095963592	0.00013811611	0.66308646	0.038783647	7.1165995	0.14051655	2591.8053	2788.9079	6.4667912	2.0316217	2.9169638	503.40132	25.658043	1.5500101e-05	0.037501649
196.33844	1.4393500	868.89775	0.0011508834	834.13943	835.79595	2.2958608	3.3315136	4.4773541	1343.5660	-0.094372485	0.00013722223	0.66234342	0.038508864	7.2958037	0.13706509	2592.4241	2789.7087	6.4576518	2.0402308	2.9346505	503.54208	25.381141	1.5541315e-05	0.037728074
197.52362	1.4760000	867.53302	0.0011526939	839.41989	841.12127	2.3070995	3.3270925	4.4832402	1339.8676	-0.092791853	0.00013635711	0.66160253	0.038239148	7.4750115	0.13377906	2593.0158	2790.4737	6.4487219	2.0487137	2.9521987	503.67299	25.113118	1.5581735e-05	0.037952028
198.68605	1.5126500	866.18748	0.0011544845	844.60492	846.35125	2.3181078	3.3227799	4.4891041	1336.2132	-0.091221115	0.00013551911	0.66086391	0.037974284	7.6542307	0.13064670	2593.5817	2791.2045	6.4399913	2.0570748	2.9696143	503.79455	24.853495	1.5621398e-05	0.038173614
199.82671	1.5493000	864.86032	0.0011562561	849.69864	851.49002	2.3288960	3.3185707	4.4949472	1332.6014	-0.089659729	0.00013470670	0.66012764	0.037714071	7.8334689	0.12765736	2594.1231	2791.9026	6.4314502	2.0653185	2.9869031	503.90720	24.601830	1.5660338e-05	0.038392935
200.94653	1.5859500	863.55081	0.0011580095	854.70490	856.54145	2.3394739	3.3144603	4.5007705	1329.0307	-0.088107188	0.00013391851	0.65939381	0.037458319	8.0127333	0.12480136	2594.6408	2792.5696	6.4230898	2.0734489	3.0040707	504.01136	24.357713	1.5698587e-05	0.038610081
202.04636	1.6226000	862.25826	0.0011597453	859.62733	861.50913	2.3498505	3.3104445	4.5065754	1325.4996	-0.086563013	0.00013315324	0.65866249	0.037206854	8.1920306	0.12206986	2595.1361	2793.2067	6.4149017	2.0814698	3.0211223	504.10744	24.120765	1.5736175e-05	0.038825143
203.12701	1.6592500	860.98202	0.0011614644	864.46931	866.39647	2.3600342	3.3065190	4.5123627	1322.0070	-0.085026757	0.00013240970	0.65793372	0.036959508	8.3713674	0.11945480	2595.6098	2793.8152	6.4068782	2.0893849	3.0380629	504.19579	23.890631	1.5773130e-05	0.039038201
204.18924	1.6959000	859.72147	0.0011631674	869.23400	871.20662	2.3700331	3.3026803	4.5181337	1318.5516	-0.083497996	0.00013168679	0.65720755	0.036716128	8.5507500	0.11694881	2596.0628	2794.3963	6.3990120	2.0971979	3.0548972	504.27676	23.666983	1.5809479e-05	0.039249334
205.23375	1.7325500	858.47605	0.0011648549	873.92441	875.94258	2.3798546	3.2989247	4.5238892	1315.1322	-0.081976333	0.00013098348	0.65648403	0.036476567	8.7301845	0.11454512	2596.4960	2794.9511	6.3912963	2.1049119	3.0716300	504.35066	23.449514	1.5845245e-05	0.039458616
206.26122	1.7692000	857.24520	0.0011665274	878.54334	880.60716	2.3895056	3.2952488	4.5296301	1311.7476	-0.080461391	0.00013029882	0.65576317	0.036240686	8.9096764	0.11223752	2596.9100	2795.4807	6.3837249	2.1125303	3.0882654	504.41779	23.237937	1.5880452e-05	0.039666116
207.27228	1.8058500	856.02842	0.0011681855	883.09343	885.20300	2.3989928	3.2916497	4.5353575	1308.3970	-0.078952813	0.00012963190	0.65504500	0.036008355	9.0892315	0.11002030	2597.3058	2795.9859	6.3762916	2.1200561	3.1048078	504.47843	23.031985	1.5915123e-05	0.039871900
208.26751	1.8425000	854.82520	0.0011698298	887.57718	889.73260	2.4083224	3.2881242	4.5410721	1305.0791	-0.077450263	0.00012898192	0.65432955	0.035779452	9.2688549	0.10788819	2597.6838	2796.4678	6.3689910	2.1274921	3.1212610	504.53285	22.831408	1.5949277e-05	0.040076031
209.24749	1.8791500	853.63511	0.0011714607	891.99696	894.19831	2.4175001	3.2846698	4.5467748	1301.7931	-0.075953422	0.00012834808	0.65361681	0.035553860	9.4485519	0.10583632	2598.0449	2796.9273	6.3618177	2.1348413	3.1376289	504.58128	22.635968	1.5982935e-05	0.040278568
210.21274	1.9158000	852.45769	0.0011730788	896.35500	898.60238	2.4265315	3.2812836	4.5524662	1298.5381	-0.074461985	0.00012772966	0.65290679	0.035331469	9.6283273	0.10386020	2598.3896	2797.3650	6.3547668	2.1421062	3.1539152	504.62397	22.445447	1.6016114e-05	0.040479566
211.16377	1.9524500	851.29253	0.0011746843	900.65340	902.94691	2.4354219	3.2779633	4.5581473	1295.3131	-0.072975665	0.00012712598	0.65219950	0.035112175	9.8081859	0.10195565	2598.7185	2797.7818	6.3478336	2.1492894	3.1701234	504.66113	22.259635	1.6048832e-05	0.040679080
212.10106	1.9891000	850.13924	0.0011762779	904.89417	907.23391	2.4441762	3.2747066	4.5638187	1292.1174	-0.071494187	0.00012653641	0.65149495	0.034895878	9.9881324	0.10011882	2599.0321	2798.1784	6.3410137	2.1563933	3.1862569	504.69297	22.078338	1.6081105e-05	0.040877161
213.02504	2.0257500	848.99744	0.0011778598	909.07922	911.46527	2.4527990	3.2715111	4.5694810	1288.9502	-0.070017290	0.00012596034	0.65079311	0.034682484	10.168171	0.098346102	2599.3310	2798.5556	6.3343029	2.1634204	3.2023189	504.71968	21.901371	1.6112949e-05	0.041073857
213.93616	2.0624000	847.86678	0.0011794306	913.21034	915.64279	2.4612948	3.2683749	4.5751350	1285.8106	-0.068544724	0.00012539720	0.65009399	0.034471904	10.348306	0.096634170	2599.6156	2798.9139	6.3276972	2.1703728	3.2183126	504.74144	21.728561	1.6144380e-05	0.041269215
214.83482	2.0990500	846.74692	0.0011809904	917.28924	919.76820	2.4696679	3.2652959	4.5807813	1282.6980	-0.067076253	0.00012484648	0.64939758	0.034264053	10.528542	0.094979909	2599.8864	2799.2540	6.3211929	2.1772527	3.2342410	504.75844	21.559744	1.6175410e-05	0.041463278
215.72141	2.1357000	845.63754	0.0011825397	921.31757	923.84312	2.4779221	3.2622723	4.5864206	1279.6117	-0.065611647	0.00012430767	0.64870387	0.034058850	10.708883	0.093380419	2600.1439	2799.5764	6.3147865	2.1840622	3.2501069	504.77083	21.394765	1.6206053e-05	0.041656090
216.59631	2.1723500	844.53831	0.0011840789	925.29687	927.86911	2.4860614	3.2593022	4.5920533	1276.5509	-0.064150691	0.00012378029	0.64801284	0.033856216	10.889333	0.091832993	2600.3884	2799.8818	6.3084746	2.1908032	3.2659131	504.77877	21.233477	1.6236323e-05	0.041847691
217.45985	2.2090000	843.44896	0.0011856082	929.22863	931.84764	2.4940893	3.2563839	4.5976801	1273.5151	-0.062693177	0.00012326390	0.64732449	0.033656080	11.069894	0.090335098	2600.6205	2800.1707	6.3022539	2.1974777	3.2816624	504.78240	21.075742	1.6266230e-05	0.042038119
218.31237	2.2456500	842.36919	0.0011871279	933.11426	935.78013	2.5020093	3.2535160	4.6033015	1270.5036	-0.061238904	0.00012275808	0.64663878	0.033458369	11.250573	0.088884365	2600.8403	2800.4435	6.2961215	2.2040875	3.2973573	504.78188	20.921427	1.6295788e-05	0.042227412
219.15421	2.2823000	841.29874	0.0011886384	936.95510	939.66793	2.5098247	3.2506967	4.6089181	1267.5158	-0.059787682	0.00012226244	0.64595572	0.033263017	11.431370	0.087478576	2601.0484	2800.7008	6.2900745	2.2106344	3.3130004	504.77733	20.770409	1.6325006e-05	0.042415605
219.98566	2.3189500	840.23735	0.0011901399	940.75244	943.51232	2.5175386	3.2479246	4.6145304	1264.5512	-0.058339327	0.00012177659	0.64527527	0.033069959	11.612291	0.086115649	2601.2451	2800.9430	6.2841100	2.2171200	3.3285940	504.76888	20.622569	1.6353896e-05	0.042602733
220.80701	2.3556000	839.18477	0.0011916327	944.50752	947.31453	2.5251541	3.2451984	4.6201389	1261.6091	-0.056893663	0.00012130017	0.64459743	0.032879134	11.793339	0.084793628	2601.4306	2801.1705	6.2782256	2.2235460	3.3441405	504.75666	20.477793	1.6382467e-05	0.042788829
221.61855	2.3922500	838.14076	0.0011931170	948.22151	951.07574	2.5326739	3.2425166	4.6257441	1258.6892	-0.055450520	0.00012083285	0.64392216	0.032690483	11.974517	0.083510678	2601.6054	2801.3838	6.2724186	2.2299139	3.3596421	504.74076	20.335976	1.6410730e-05	0.042973924
